timestamp,accx,accy,accz
01:16:47.826,1.999,1.874,0.727
01:16:47.922,0.109,0.127,0.984
01:16:48.118,0.12,0.136,0.984
01:16:48.313,0.111,0.141,0.978
01:16:48.508,0.125,0.142,0.978
01:16:48.704,0.098,0.133,0.995
01:16:48.898,0.12,0.125,0.985
01:16:49.094,0.116,0.137,0.992
01:16:49.288,0.125,0.134,0.995
01:16:49.481,0.109,0.128,0.995
01:16:49.676,0.112,0.13,0.98
01:16:49.872,0.123,0.125,0.99
01:16:50.116,0.11,0.129,0.995
01:16:50.311,0.115,0.119,0.996
01:16:50.506,0.122,0.137,0.986
01:16:50.701,0.131,0.139,0.987
01:16:50.897,0.122,0.141,0.987
01:16:51.092,0.118,0.129,0.988
01:16:51.285,0.102,0.123,0.983
01:16:51.481,0.116,0.13,0.982
01:16:51.675,0.113,0.126,0.982
01:16:51.872,0.12,0.126,0.987
01:16:52.068,0.105,0.115,0.984
01:16:52.262,0.113,0.133,0.976
01:16:52.458,0.109,0.135,0.978
01:16:52.652,0.111,0.125,0.99
01:16:52.848,0.121,0.124,0.991
01:16:53.042,0.115,0.126,0.992
01:16:53.236,0.117,0.14,0.978
01:16:53.431,0.124,0.143,0.98
01:16:53.625,0.115,0.119,0.981
01:16:53.822,0.117,0.125,0.974
01:16:54.016,0.118,0.134,0.973
01:16:54.213,0.117,0.142,1.004
01:16:54.456,0.113,0.137,0.993
01:16:54.650,0.116,0.127,0.996
01:16:54.844,0.121,0.123,0.971
01:16:55.039,0.108,0.137,0.988
01:16:55.234,0.119,0.126,0.996
01:16:55.429,0.117,0.129,0.985
01:16:55.624,0.105,0.127,0.985
01:16:55.822,0.128,0.135,0.983
01:16:56.015,0.121,0.123,0.983
01:16:56.210,0.113,0.128,0.986
01:16:56.406,0.103,0.135,0.978
01:16:56.600,0.114,0.138,0.989
01:16:56.796,0.114,0.129,0.984
01:16:56.990,0.116,0.124,0.983
01:16:57.185,0.13,0.131,0.996
01:16:57.380,0.12,0.143,0.987
01:16:57.576,0.114,0.131,0.981
01:16:57.770,0.132,0.126,0.987
01:16:57.966,0.093,0.128,0.993
01:16:58.161,0.114,0.124,0.985
01:16:58.356,0.104,0.131,0.992
01:16:58.551,0.116,0.128,0.996
01:16:58.745,0.105,0.126,0.985
01:16:58.989,0.128,0.127,0.981
01:16:59.183,0.101,0.125,0.999
01:16:59.379,0.117,0.143,0.984
01:16:59.574,0.126,0.126,0.981
01:16:59.770,0.124,0.133,0.991
01:16:59.965,0.122,0.119,0.988
