timestamp,gyrx,gyry,gyrz
11:18:21.538,21.37,-59.22,-25.79
11:18:21.733,21.43,-59.33,-29.37
11:18:21.928,21.64,-59.62,-32.89
11:18:22.123,21.58,-59.63,-36.08
11:18:22.366,21.42,-59.49,-39.36
11:18:22.513,21.61,-59.47,-42.98
11:18:22.708,21.86,-59.55,-46.48
11:18:22.905,21.85,-59.44,-49.73
11:18:23.149,21.88,-59.37,-53.18
11:18:23.343,21.96,-59.63,-56.73
11:18:23.539,22.49,-58.28,-59.59
11:18:23.733,22.36,-58.14,-63.06
11:18:23.928,22.11,-58.04,-66.34
11:18:24.125,22.3,-57.49,-69.44
11:18:24.319,21.62,-56.29,-72.16
11:18:24.515,21.45,-55.94,-75.36
11:18:24.709,21.35,-56.07,-78.44
11:18:24.903,21.49,-55.93,-81.67
11:18:25.099,21.64,-58.17,-86.29
11:18:25.295,21.68,-58.45,-89.73
11:18:25.489,21.84,-58.78,-93.33
11:18:25.684,22.03,-58.95,-96.89
11:18:25.879,22.04,-59.19,-100.48
11:18:26.072,22.01,-59.3,-103.97
11:18:26.267,22.19,-58.97,-107.42
11:18:26.463,22.09,-58.4,-110.72
11:18:26.658,21.92,-58.45,-114.03
11:18:26.854,21.87,-58.54,-117.28
11:18:27.048,22.08,-58.61,-120.95
11:18:27.242,21.99,-58.64,-124.35
11:18:27.485,22.11,-58.53,-127.73
11:18:27.680,22.36,-58.56,-131.42
11:18:27.875,22.3,-58.61,-134.89
11:18:28.071,22.11,-58.59,-138.0
11:18:28.265,22.04,-58.72,-141.52
11:18:28.460,22.19,-58.73,-144.99
11:18:28.704,22.5,-59.18,-148.89
11:18:28.850,22.63,-59.43,-152.56
11:18:29.045,22.67,-59.43,-156.06
11:18:29.241,22.48,-59.42,-159.33
11:18:29.435,22.11,-59.36,-162.53
11:18:29.679,22.02,-59.49,-165.99
11:18:29.826,21.76,-59.34,-169.23
11:18:30.021,21.82,-59.3,-172.64
11:18:30.215,21.78,-59.26,-175.89
11:18:30.460,21.7,-59.42,-179.21
11:18:30.606,21.67,-59.37,177.36
11:18:30.850,21.66,-59.33,173.94
11:18:30.997,21.93,-59.35,170.34
11:18:31.191,22.02,-59.12,166.86
11:18:31.385,22.25,-59.43,163.36
11:18:31.580,22.44,-59.65,159.67
11:18:31.824,22.61,-59.72,155.94
11:18:32.021,22.66,-59.92,152.38
11:18:32.215,22.73,-60.02,148.98
11:18:32.410,22.68,-59.89,145.77
11:18:32.617,22.42,-59.77,142.43
11:18:32.799,22.32,-59.78,139.11
11:18:32.995,22.28,-59.52,135.94
11:18:33.239,22.24,-59.67,132.5
11:18:33.385,22.1,-59.62,129.41
11:18:33.677,21.95,-59.67,126.18
11:18:33.775,22.14,-59.69,122.56
11:18:33.970,22.3,-59.84,118.96
11:18:34.165,22.5,-59.89,115.33
11:18:34.409,22.35,-59.82,112.06
11:18:34.800,22.61,-59.93,108.27
11:18:34.801,22.41,-59.85,104.94
11:18:34.946,22.67,-59.92,101.19
11:18:35.140,22.65,-59.21,97.92
11:18:35.384,22.63,-58.88,94.62
11:18:35.530,22.44,-58.77,92.03
11:18:35.725,22.65,-58.18,88.29
11:18:35.920,22.41,-57.62,85.28
11:18:36.164,22.26,-57.52,82.16
11:18:36.358,22.2,-57.68,78.68
11:18:36.554,22.04,-57.72,75.51
11:18:36.749,21.88,-57.82,72.3
11:18:36.943,22.43,-58.89,68.05
11:18:37.140,22.4,-60.04,63.84
11:18:37.333,22.63,-60.61,59.96
11:18:37.529,22.7,-60.89,56.47
11:18:37.724,22.69,-60.58,53.23
11:18:37.917,23.12,-60.49,49.53
